"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","armor class","strength","dexterity","intelligence","wisdom","constitution","sex","class","level","age","(unknown)","(unknown)","endurance","hp","gold","experience","armor class","hit roll","damage roll","saves","none","air sphere","earth sphere","fire sphere","spirit sphere","water sphere","Bit affects",","Other"
"a {Ds{wi{Wlver {Dl{wa{Wntern{x","silver lantern",73,63257,63222,"on a {yh{Daw{yk-e{Dye{yd{x {Dg{wu{Wardsm{wa{Dn{x","-------------------",1,100,"silver","(take)","light",0,999,"(limited)","+3wis",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yw{Do{yod{De{yn{x {yc{Dr{ya{Dt{ye{x","wooden crates barrels",0,63282,63224,"in room: A Basement Storage Room","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rQu{Ree{Wnsg{Rua{rrd{w {Df{wlai{Dl{x","queensguard plain flail",73,63259,63231,"on a vigilant {Dg{wu{Wardsm{wa{Dn{x","-------------------",5,200,"steel","(take wield)","weapon(smash)","8d13",0,"none","+2hit,+1dam,+2hit,+1dam",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,"",,""
"some {rm{Ri{rn{Rat{ru{Rr{re r{Ro{rs{Re{rs{x growing in a {bl{Barg{be b{Blu{be p{Bo{bt{x","minature roses large blue pot",0,63164,63234,"in room: A Marble Balcony","-------------------",0,0,"ceramic","(nosac)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rcherry {ywood{x {ytable{x","cherry wood table",0,63171,63257,"in room: An Advisor's Quarters","-------------------",0,0,"wood","(nosac)","container",0,"50lbs, 10 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rp{Ra{rdd{Re{rd arm{ychair{x","padded armchairs",0,63172,63257,"in room: An Advisor's Quarters","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rr{Re{rd s{Ril{rk s{Rh{ree{Rt{rs{x spread upon a {rcherry{y wood bed{x","red silk sheets cherry wood bed",0,63174,63258,"in room: A Grand Bedchamber","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rcherry {ywood wardrobe{x","cherry wood wardrobe",0,63173,63258,"in room: A Grand Bedchamber","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a sturdy {yo{Yak {Wdesk{x","green cushioned chair oak desk",0,63175,63259,"in room: An Advisor's Office","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a tall {yb{Do{yo{Dkc{ya{Ds{ye{x","tall bookcase",0,63177,63260,"in room: An Advisor's Quarters","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {gp{Ga{gdd{Ge{gd {ya{Dr{ym{Dch{ya{Di{yr{x","padded armchairs",0,63176,63260,"in room: An Advisor's Quarters","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{gg{Gr{ge{Ge{gn {Gs{gi{Gl{gk{w {Gs{gh{Ge{ge{Gt{gs{x spread on top of a {yw{Da{yln{Du{yt f{Do{yur-post{De{yr bed{x","green silk sheets walnut four poster bed",0,63179,63261,"in room: A Grand Bedchamber","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yw{Da{yln{Du{yt{w {yw{Da{yrdr{Do{ybe{x","walnut wardrobe",0,63178,63261,"in room: A Grand Bedchamber","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a sturdy {yo{Yak {Wdesk{x","purple cushioned chair oak desk",0,63180,63265,"in room: An Advisor's Office","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {mco{Mm{mforta{Mb{mle s{Mo{mfa{x scattered with {yc{Yushion{ys{x","comfortable sofa cushions",0,63181,63266,"in room: An Advisor's Quarters","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rrose{ywood trunk{x","rosewood trunk",0,63183,63267,"in room: A Grand Bedchamber","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{mp{Mu{mrp{Ml{me s{Mi{mlk s{Mh{mee{Mt{ms{x spread upon a {rrose{ywood bed{x","purple silk sheets rosewood bed",0,63182,63267,"in room: A Grand Bedchamber","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rrose{ywood{x {ytable{x","rosewood table",0,63185,63270,"in room: An Advisor's Quarters","-------------------",0,0,"wood","(nosac)","container",0,"50lbs, 10 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {bla{Br{bge ar{Bm{bch{Ba{bir{x","large armchair footstool",0,63184,63270,"in room: An Advisor's Quarters","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{bb{Bl{bu{Be {bs{Bi{bl{Bk s{bh{Be{be{Bt{bs{x spread upon a {rrose{ywood bed{x","blue silk sheets rosewood bed",0,63186,63271,"in room: A Grand Bedchamber","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"an {yo{Yak{W weapons rack{x","oak weapons rack",0,63187,63275,"in room: The First Warden's Office","-------------------",0,0,"wood","(nosac)","container",0,"50lbs, 5 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{wa {Df{wlange{Dd f{wlai{Dl{w{x","flanged flail",70,63189,63318,"inside an {yo{Yak{W weapons rack{x in A Large Office","-------------------",6,300,"steel","(take wield)","weapon(smash)","8d13",0,"none","+3dam,+3dam",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"",,""
"a {ww{yh{Wite o{wa{yk{W j{wo{W st{wa{yf{Wf{x","white oak jo staff",70,63188,63318,"inside an {yo{Yak{W weapons rack{x in A Large Office","-------------------",6,300,"wood","(take wield)","weapon(smash)","8d13",0,"two-handed","+3hit,+3hit",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,"",,""
"some {yw{Do{yod{De{yn s{Dh{yelv{De{ys{x","wooden shelves",0,63203,63290,"in room: The Clerks' Office","-------------------",0,0,"wood","(nosac)","container",0,"50lbs, 50 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"an {yo{Yak{x {Wcupboard{x","oak cupboard",0,63201,63290,"in room: The Clerks' Office","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wqu{wi{yl{Dl{x","quill",0,63207,63290,"inside an {yo{Yak{x {Wcupboard{x in The Clerks' Office","-------------------",1,0,"feather","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {cj{Ca{Wr{x of {Dblack ink{x","jar black ink",0,63205,63290,"inside an {yo{Yak{x {Wcupboard{x in The Clerks' Office","-------------------",1,0,"glass","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {cj{Ca{Wr{x of {bblue ink{x","jar blue ink",0,63204,63290,"inside an {yo{Yak{x {Wcupboard{x in The Clerks' Office","-------------------",1,0,"glass","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yp{Di{yge{Do{ynho{Dl{ye{x","pigeonholes",0,63202,63290,"in room: The Clerks' Office","-------------------",0,0,"wood","(nosac)","container",0,"50lbs, 25 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"an {yo{Yak{x {Wdesk{x","oak desks",0,63200,63290,"in room: The Clerks' Office","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {bl{Bapi{bs-i{Bnlai{bd{x {yt{Da{yb{Dl{ye{x","lapis inlaid table",0,63211,63305,"in room: A Small Sitting Room","-------------------",0,0,"wood","(nosac)","container",0,"50lbs, 25 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {cc{Chai{cr{x with {cp{Cadde{cd a{Cr{cm r{Cest{cs{x and a {yh{Di{ygh s{Dc{yro{Dl{yl ba{Dc{yk{x","padded chairs",0,63210,63305,"in room: A Small Sitting Room","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rco{Rm{rforta{Rb{rle s{Ro{rfa{x","comfortable sofas",0,63216,63319,"in room: The Officers' Lounge","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {ysturdy table{x","sturdy tables benches",0,63217,63320,"in room: The Queensguard Mess Hall","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {ylocker{x","lockers",0,63219,63321,"in room: A Large Dormitory","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {ybunk bed{x","bunk beds",0,63218,63321,"in room: A Large Dormitory","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dda{rr{Dk wo{ro{Dd w{ra{Drdr{ro{Dbe{x","dark wood wardrobe",0,63221,63339,"in room: A Sumptuous Bedchamber","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{Ww{wh{Wi{wt{We s{wi{Wlk s{wh{Wee{wt{Ws{x spread over a {Dda{rr{Dk wo{ro{Dd bed{x","dark wood bed white silk sheets",0,63222,63339,"in room: A Sumptuous Bedchamber","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a{w s{Wilve{wr f{Wrui{wt b{Wow{wl{x","silver fruit bowl",0,63224,63343,"in room: A Private Apartment","-------------------",0,0,"silver","(nosac)","container",0,"10lbs, 10 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yg{Yilde{yd c{Yhai{yr{x with {rp{Radde{rd a{Rr{rm r{Rest{rs{x","gilded chairs",0,63229,63353,"in room: A Private Apartment","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dd{ra{Drk wo{ro{Dd chair{x inlaid with {wi{Wvor{wy{x","dark wood chairs",0,63231,63355,"in room: A Private Apartment","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wporcelain plate{x","white porcelain plate",0,63283,63365,"inside a {yw{Do{yod{De{yn{x {yb{Da{yrr{De{yl{x in A Dark Storage Room","-------------------",1,200,"porcelain","(take hold)","container",0,"2lbs, 2 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dl{we{Wad{D c{wr{Wystal{D g{wo{Wblet{D{x","lead crystal goblet",0,63285,63365,"inside a {yw{Do{yod{De{yn{x {yb{Da{yrr{De{yl{x in A Dark Storage Room","-------------------",1,200,"lead crystal","(take hold)","drink container",0,1,"water","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ws{wi{Wlv{we{Wr{x {Ws{wp{Wo{wo{Wn{x","silver spoon",0,63288,63375,"inside a {yw{Do{yod{De{yn{x {yc{Dr{ya{Dt{ye{x in A Dark Storage Room","-------------------",1,25,"silver","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ws{wi{Wlv{we{Wr{x {Wf{wor{Wk{x","silver fork",0,63287,63375,"inside a {yw{Do{yod{De{yn{x {yc{Dr{ya{Dt{ye{x in A Dark Storage Room","-------------------",1,25,"silver","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ws{wi{Wlv{we{Wr k{wn{Wi{wf{We{x","silver knife",0,63286,63375,"inside a {yw{Do{yod{De{yn{x {yc{Dr{ya{Dt{ye{x in A Dark Storage Room","-------------------",1,25,"silver","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rr{Re{rd d{Ra{rn{Rc{ri{Rn{rg s{Rl{ri{Rpp{re{Rr{rs{x","red dancing slippers",90,63290,63375,"inside a {yw{Do{yod{De{yn{x {yc{Dr{ya{Dt{ye{x in A Dark Storage Room","-------------------",1,300,"silk","(take feet)","armor","26/26/26/12",0,"","+7hit,+7dam,-40hp,-40end,-40hp,+7hit,+7dam",7,7,-40,0,0,0,0,0,0,0,0,0,0,0,0,-40,-40,0,0,0,7,7,0,0,0,0,0,0,0,"",,""
"{wa {rQu{Ree{Wnsg{Rua{rrd{w {Dl{wanc{De{x","queensguard plain lance",73,63284,63375,"inside a {yw{Do{yod{De{yn{x {yc{Dr{ya{Dt{ye{x in A Dark Storage Room","-------------------",8,200,"steel","(take wield)","weapon(thrust)","8d13",0,"none","+3dam,+3dam",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"",,""
"a {WWhite Lion banner{x","white lion banner",73,63289,63375,"inside a {yw{Do{yod{De{yn{x {yc{Dr{ya{Dt{ye{x in A Dark Storage Room","-------------------",1,45,"cloth","(take float)","armor","19/19/19/16",0,"","+3dam,+3dam",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,"",,""
"a small {Dtab{rl{De{x","small table",0,63240,63377,"in room: A Royal Apartment","-------------------",0,0,"wood","(nosac)","container",0,"25lbs, 10 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {Dbe{rd{Dside tab{rl{De{x","small bedside tables",0,63241,63378,"in room: A Royal Bedchamber","-------------------",0,0,"wood","(nosac)","container",0,"20lbs, 10 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{Ww{wh{Wi{wt{We s{wi{Wlk s{wh{Wee{wt{Ws{x that are spread upon a {wt{Wau{wt l{Wine{wn c{Wanopie{wd{x {Dbed{x","white silk sheets taut linen canopied bed",0,63236,63378,"in room: A Royal Bedchamber","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x","drawers",0,63272,63379,"in room: A Dressing Room","-------------------",0,0,"wood","(nosac)","container",0,"20lbs, 10 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {mrose{ywood makeup box{x","rosewood makeup box",0,63278,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"wood","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a bar of {Wsoap{x","bar soap",0,63277,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"soap","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ws{wi{Wlv{we{Wr{x {Wc{wom{Wb{x","silver comb",0,63276,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"silver","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ws{wi{Wlv{we{Wr b{wa{Wck{we{Wd{x {yhairbrush{x","silver hairbrush",0,63275,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"silver","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ddr{re{Dss{ri{Dng ta{rb{Dle{x","dressing table velvet cushioned stool",0,63271,63379,"in room: A Dressing Room","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a tall {Wm{wi{Wrr{wo{Wr{x ","tall mirror",0,63235,63379,"in room: A Dressing Room","-------------------",0,0,"glass","(nosac)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dda{rr{Dk wo{ro{Dd w{ra{Drdr{ro{Dbe{x","dark wood wardrobe",0,63234,63379,"in room: A Dressing Room","-------------------",0,0,"wood","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dlow b{ra{Dcked cha{ri{Dr{x","carved low backed chairs",0,63237,63380,"in room: The Daughter-Heir's Chambers","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {ct{Curquois{ce{x-{ci{Cnlai{cd{x {Dch{re{Dst{x","turquoise chest",0,63239,63381,"in room: The Daughter-Heir's Bedchamber","-------------------",0,0,"wood","(nosac)","container",63238,"100lbs, 100 max (100% bulk),"close nopick locked","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ds{wh{yavi{wn{Dg b{wr{yu{ws{Dh{x","shaving brush",0,63274,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"wood","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dc{wut{Wthr{woa{Dt r{wa{Wz{wo{Dr{x","cutthroat razor",0,63273,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"steel","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yc{Yarve{yd{x and {yg{Yilde{yd s{Yideboar{yd{x","carved gilded sideboard",0,63245,63389,"in room: The Queen's Chambers","-------------------",0,0,"gold","(nosac)","container",0,"200lbs, 100 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {bl{Bapi{bs-i{Bnlai{bd{x {Dch{re{Dst{x","lapis chest",0,63248,63390,"in room: The Queen's Bedchamber","-------------------",0,0,"wood","(nosac)","container",63244,"200lbs, 100 max (100% bulk),"close nopick closed locked","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {bl{Bapi{bs-i{Bnlai{bd{x {Dtab{rl{De{x","lapis tables",0,63247,63390,"in room: The Queen's Bedchamber","-------------------",0,0,"wood","(nosac)","container",0,"20lbs, 10 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{rr{Re{rd s{Ri{rlk s{Rh{ree{Rt{rs{x that are spread upon a {wt{Wau{wt l{Wine{wn c{Wanopie{wd{x {Wb{Ye{yd{x","red silk sheets taut linen canopied bed",0,63246,63390,"in room: The Queen's Bedchamber","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yg{Yolde{yn c{Yom{yb{x","golden comb",0,63280,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"gold","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yg{Yolde{yn b{Yacke{yd hairbrush{x","golden hairbrush",0,63279,63391,"inside a {Ddr{ra{Dwer{x in the {Ddr{re{Dss{ri{Dng ta{rb{Dle{x in The Queen's Dressing Room","-------------------",1,0,"gold","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dwo{ro{Dden ch{re{Dst{x","wooden chest dark",0,63254,63392,"in room: A Royal Nursery","-------------------",0,0,"wood","(nosac)","container",0,"75lbs, 25 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {gw{Goode{gn b{Gric{gk{x","wooden brick",0,63294,63394,"inside a {Dwo{ro{Dden ch{re{Dst{x in A Royal Nursery","-------------------",1,0,"wood","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {rt{Ro{ry s{Roldie{rr{x","toy soldier",0,63293,63394,"inside a {Dwo{ro{Dden ch{re{Dst{x in A Royal Nursery","-------------------",1,0,"wood","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {mr{Ma{mg d{Mol{ml{x","rag doll",0,63292,63394,"inside a {Dwo{ro{Dden ch{re{Dst{x in A Royal Nursery","-------------------",1,0,"cloth","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {cb{Clu{ce b{Cal{cl{x","blue ball",0,63291,63394,"inside a {Dwo{ro{Dden ch{re{Dst{x in A Royal Nursery","-------------------",1,0,"cloth","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dr{ro{Dcki{rn{Dg ch{ra{Dir{x ","rocking chair",0,63253,63392,"in room: A Royal Nursery","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{mr{Mos{me c{Molore{md b{Mlanket{ms{x in an {De{rl{Degan{rt{Dly ca{rr{Dved cr{ri{Db{x","rose blankets elegantly carved crib",0,63251,63392,"in room: A Royal Nursery","-------------------",0,0,"wood","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
