"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","armor class","strength","dexterity","intelligence","wisdom","constitution","sex","class","level","age","(unknown)","(unknown)","endurance","hp","gold","experience","armor class","hit roll","damage roll","saves","none","air sphere","earth sphere","fire sphere","spirit sphere","water sphere","Bit affects",","Other"
"a small bed","bed small corner",0,4203,4491,"in room: A Bedroom","-------------------",0,0,"cloth","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a wooden {ychair{w","chair chairs wood wooden wall",0,4205,4497,"in room: A Large Dance Hall","-------------------",0,0,"cloth","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a heavy, carved {Dchair{w","chair chairs heavy carved",0,4267,4519,"in room: A Large Sitting Room","-------------------",0,0,"cloth","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {Wst{Dee{Wl{x canteen","small steel canteen",0,4234,4525,"on {WG{be{Bnd{br{Wy{x","-----------------#-",1,30,"steel","(take hold)","drink container",0,200,"water","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {gca{ynv{gas{x satchel","small canvas satchel",0,4235,4525,"on {WG{be{Bnd{br{Wy{x","-----------------#-",5,15,"cloth","(take back)","container",0,"50lbs, 10 max (0% bulk),"close ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {yb{Yras{ys{x lantern","brass lantern",0,4266,4525,"on {WG{be{Bnd{br{Wy{x","-----------------#-",1,55,"cloth","(take float)","light",0,999,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a short {Dt{ro{Yr{rc{Dh{x","short torch",0,4236,4525,"on {WG{be{Bnd{br{Wy{x","-----------------#-",0,13,"cloth","(take float)","light",0,50,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {gca{ynv{gas{x bedroll","small canvas bedroll",0,4237,4525,"on {WG{be{Bnd{br{Wy{x","-----------------#-",3,45,"cloth","(take)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yl{Yeathe{yr{x quiver","leather quiver",0,4251,4528,"on Jarvis","-----------------#-",1,30,"leather","(take back)","container",0,"35lbs, 35 max (0% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yw{Yoode{yn{x bow","bow",10,4250,4528,"on Jarvis","-----------------#-",1,75,"wood","(take wield)","weapon(thwack)","2d7",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a nicely {Dfl{xe{Wtc{xh{Ded{x arrow","arrow",10,4291,4528,"on Jarvis","-----------------#-",1,4,"wood","(take hold)","weapon(pierce)","2d7",0,"none","+4dam,+4dam",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"",,""
"a short {Dl{xa{Wn{xc{De{x","lance",10,4252,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(charge)","2d7",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yq{Yuarte{yr{x-staff","quarter staff",10,4253,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(thwack)","2d7",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ds{xm{Wa{xl{Dl{x polearm","small polearm",10,4249,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(slice)","2d7",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dl{Wo{xn{Dg{x whip","long whip",10,4248,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(whip)","2d7",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a plain {Dlo{xn{Wg s{xwo{Drd{x","sword",10,4243,4528,"on Jarvis","-----------------#-",3,75,"steel","(take wield)","weapon(slash)","2d7",0,"none","+4dam,+4dam",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"",,""
"a long-handled {Ds{xp{We{xa{Dr{x","spear",10,4244,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(slash)","2d7",0,"none","+4dam,+4dam",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"",,""
"a {Dsharp d{xa{Wgg{xe{Dr{x","sharp dagger",10,4242,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(stab)","2d7",0,"none","+4dam,+4dam",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"",,""
"a {Dsh{xo{Wrt-han{xdl{Ded{x axe","axe",10,4246,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(chop)","2d7",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Ds{xt{Wur{xd{Dy{x mace","sturdy mace",10,4245,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(crush)","2d7",0,"none","+4dam,+4dam",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"",,""
"a {Ds{xh{Wo{xr{Dt{x flail","flail",10,4247,4528,"on Jarvis","-----------------#-",1,75,"steel","(take wield)","weapon(pound)","2d7",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"{Wb{yr{Yaid{ye{Wd{x sweetbread, sprinkled with {yses{Yame se{yeds{x","loaf braided sweetbread bread sesame seeds",0,4239,4529,"on {mL{Wy{Man{Wn{ma{x","-----------------#-",0,18,"food","(take hold)","food",50,50,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a loaf of {Dda{yr{Dk {yr{Dye{x bread","loaf dark rye bread",0,4240,4529,"on {mL{Wy{Man{Wn{ma{x","-----------------#-",0,12,"food","(take hold)","food",40,40,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dgooey{x, {ys{Ytick{yy{x sweetroll","sweetroll roll gooey sticky sweet",0,4238,4529,"on {mL{Wy{Man{Wn{ma{x","-----------------#-",0,6,"food","(take)","food",5,5,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a round {Wsalt{x-{yb{Yutte{yr{x cracker","round salt butter cracker ritz",0,4241,4529,"on {mL{Wy{Man{Wn{ma{x","-----------------#-",0,3,"food","(take hold)","food",8,8,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wplain{x metal shield","shield",10,4254,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"metal","(take shield)","armor","3/3/2/2",-1215233676,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"some {Wplain{x scale mail sleeves","sleeves",10,4255,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"metal","(take arms)","armor","3/3/2/2",-1215233588,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"some {Wplain{x reinforced gloves","gloves",10,4256,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"leather","(take hands)","armor","3/3/2/2",-1215233500,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"some {Wplain{x reinforced boots","boots",10,4257,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"leather","(take feet)","armor","3/3/2/2",-1215233412,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wplain{x chainmail skirt","skirt",10,4258,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"metal","(take legs)","armor","3/3/2/2",-1215233324,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wplain{x metal helm","helm",10,4259,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"metal","(take head)","armor","3/3/2/2",-1215233236,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wplain{x chainmail shirt","shirt",10,4260,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"metal","(take torso)","armor","3/3/2/2",-1215233148,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wplain{x neckguard","neckguard",10,4261,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"leather","(take neck)","armor","3/3/2/2",-1215233060,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wplain{x noseguard","noseguard",10,4262,4530,"on {DB{car{Cth{ca{Dn{x","-----------------#-",1,30,"leather","(take face)","armor","3/3/2/2",-1215232972,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"an {Di{xr{Don{x-bound {yo{Ya{yk{x chest","chest donation",0,4264,4531,"in room: A Charity for the Needy","-------------------",0,0,"cloth","(none)","container",0,"800lbs, 800 max (75% bulk),"close ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a tall {ybo{Wo{ykc{Wa{yse{w","shelf book bookshelf bookcase",0,4268,4556,"in room: A Large Sitting Room","-------------------",0,0,"cloth","(none)","container",0,"0lbs, 10000 max (80% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a book of flags","book flags flag flagbook",0,4200,4583,"inside one of the stacks in In the Stacks","-------------------",5,500,"paper","(take hold)","treasure",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"one of the stacks","shelf stack book shelves stacks books",0,4269,4583,"in room: In the Stacks","-------------------",0,0,"cloth","(none)","container",0,"0lbs, 10000 max (80% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a dark {bb{Blu{be{x coat","dark blue coat",25,4221,4584,"on the {Wd{Boc{bkmas{Bte{Wr{x","-------------------",2,65,"cloth","(take body)","armor","7/6/6/6",0,"","+1str,+1wis",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Wstarched white{x shirt","white shirt starched",25,4222,4584,"on the {Wd{Boc{bkmas{Bte{Wr{x","-------------------",2,65,"cloth","(take torso)","armor","7/6/6/6",0,"","+1int",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of dark {bb{Blu{be{x trousers","dark blue trousers",25,4223,4584,"on the {Wd{Boc{bkmas{Bte{Wr{x","-------------------",2,65,"cloth","(take legs)","armor","7/6/6/6",0,"","+1con",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {ychair{w by the {rfi{Rr{Ye{Wp{Yl{Ra{rce{w","chair chairs wooden",0,4271,4586,"in room: A Small Home","-------------------",0,0,"wood","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a large bed","bed large",0,4270,4592,"in room: A Large Bedroom","-------------------",0,0,"cloth","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small, {yb{Yr{ya{Ys{ys{w lantern","small brass lantern",0,4272,4603,"on {WDe{xv{Win{xo","-----------------#-",5,50,"brass","(take float)","light",0,100,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a slender, {yg{Yi{yld{Ye{yd{w lamp","slender gilded lamp",0,4273,4603,"on {WDe{xv{Win{xo","-----------------#-",6,175,"brass","(take float)","light",0,250,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {Dm{wi{Cr{cr{Wo{cr{Ce{Dd{w lamp","mirrored lamp",0,4275,4603,"on {WDe{xv{Win{xo","-----------------#-",5,375,"silver","(take float)","light",0,750,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a delicate {Yg{yol{Yd{w lantern","delicate gold lantern",0,4276,4603,"on {WDe{xv{Win{xo","-----------------#-",2,5000,"gold","(take float)","light",0,999,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a tiny {Dp{wo{br{wc{We{wl{ba{wi{Dn{w lamp","tiny porcelain lamp",0,4274,4603,"on {WDe{xv{Win{xo","-----------------#-",7,250,"porcelain","(take float)","light",0,500,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a wide, hooped {bsk{Bir{bt{w","skirt wide hooped",10,4277,4604,"on {rS{Da{Ri{Dr{ra{x","-----------------#-",10,500,"cloth","(take legs)","armor","10/10/10/10",0,"","+1con",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a bell-shaped, {gve{Glve{gt{w cap","hat cap bell bell-shaped",10,4278,4604,"on {rS{Da{Ri{Dr{ra{x","-----------------#-",7,400,"cloth","(take head)","armor","10/10/10/10",-1215231180,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a fine, {Dlinen{w shirt","shirt fine linen",10,4279,4604,"on {rS{Da{Ri{Dr{ra{x","-----------------#-",8,600,"cloth","(take torso)","armor","10/10/10/10",-1215231092,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of fine, {Wsa{wti{Wn{w slippers","slippers satin fine",10,4280,4604,"on {rS{Da{Ri{Dr{ra{x","-----------------#-",4,350,"cloth","(take feet)","armor","10/10/10/10",0,"","+1dex",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of elbow-length {mgl{Move{ms{w","gloves elbow length",10,4281,4604,"on {rS{Da{Ri{Dr{ra{x","-----------------#-",5,375,"cloth","(take hands)","armor","10/10/10/10",0,"","+1wis",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a wooden {ychair{w","chair chairs wooden",0,4282,4605,"in room: A Large Gathering Hall","-------------------",0,0,"wood","(none)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small satchel of {yhe{grb{ys{w","satchel herb herbs small",5,4288,4607,"on {DJ{ga{Gn{gn{Da{x","-----------------#-",1,25,"organic","(take hold)","pill",20,0,"heal","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small vial of a clear {Wli{wqu{Wid{w","vial clear liquid",5,4289,4607,"on {DJ{ga{Gn{gn{Da{x","-----------------#-",2,25,"organic","(take hold)","pill",20,0,"refresh","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small green {gp{Glan{gt{w","plant green dried",5,4292,4607,"on {DJ{ga{Gn{gn{Da{x","-----------------#-",2,50,"organic","(take hold)","pill",50,0,"heal","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a tiny {yy{Yello{yw{w flower","flower yellow tiny",5,4293,4607,"on {DJ{ga{Gn{gn{Da{x","-----------------#-",2,50,"organic","(take hold)","pill",50,0,"refresh","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small pouch filled with a fine {Wp{Yowde{Wr{w","pouch fine powder",5,4294,4607,"on {DJ{ga{Gn{gn{Da{x","-----------------#-",4,150,"organic","(take hold)","pill",80,0,"heal,refresh","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a cup of {rh{Rear{rt{gl{Gea{gf{w tea","tea heartleaf heart leaf",0,4295,4607,"on {DJ{ga{Gn{gn{Da{x","-----------------#-",5,15,"cloth","(take hold)","drink container",0,20,"tea","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"the {ySu{Yn {WTh{Yro{yne{w","sun throne",0,6000,6010,"in room: The Grand {cHa{Cl{cl{w of the {YSun{w","-------------------",3000,3000,"wooden","(nosac)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a cup of rum","cup rum",0,341,305,"on a medium sized innkeeper","-----------------#-",1,40,"rum","(take)","drink container",0,1,"rum","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a carafe of wine","carafe wine",0,342,305,"on a medium sized innkeeper","-----------------#-",1,24,"wine","(take)","drink container",0,2,"red wine","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a bottle of oosquai","bottle oosquai",0,343,305,"on a medium sized innkeeper","-----------------#-",1,47,"oosaqui","(take)","drink container",0,3,"oosquai","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a cup of willowbark tea","mug willowbark tea",0,344,305,"on a medium sized innkeeper","-----------------#-",1,15,"tea","(take)","drink container",0,2,"tea","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a long sword with a {ywooden{x hilt","long sword",10,301,308,"on A short, stocky man","-----------------#-",2,195,"iron","(take wield)","weapon(slash)","4d9",0,"none","+9dam,+9dam",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,"",,""
"a {ywooden{x short spear","short spear",10,302,308,"on A short, stocky man","-----------------#-",2,160,"wood","(take wield)","weapon(pierce)","4d9",0,"none","+9dam,+9dam",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,"",,""
"a wicked dagger","small wicked dagger",10,304,308,"on A short, stocky man","-----------------#-",1,160,"iron","(take wield)","weapon(pierce)","4d9",0,"none","+9dam,+9dam",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,"",,""
"a short, {yleather{x whip","short leather whip",10,303,308,"on A short, stocky man","-----------------#-",1,150,"leather","(take wield)","weapon(whip)","5d6",0,"none","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a two-handed, double-bladed axe","double bladed axe",10,305,308,"on A short, stocky man","-----------------#-",3,165,"iron","(take wield)","weapon(cleave)","6d5",0,"two-handed","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {ycopper{x coated lance","lance",10,306,308,"on A short, stocky man","-----------------#-",3,170,"copper","(take wield)","weapon(pierce)","6d7",0,"two-handed","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a hooded {yla{rn{Rt{re{yrn{x","hooded lantern",0,307,309,"on a short, dark haired woman","-----------------#-",1,100,"copper","(take float)","light",0,5,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a stone figurine","stone figurine",0,308,309,"on a short, dark haired woman","-----------------#-",1,50,"stone","(take hold)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {yleather{x backpack","small leather backpack",0,309,309,"on a short, dark haired woman","-----------------#-",1,100,"leather","(take back)","container",0,"50lbs, 500 max (100% bulk),"close ","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a history book of Andor","book history",0,311,309,"on a short, dark haired woman","-----------------#-",1,100,"paper","(take hold)","treasure",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a small {yleather{x canteen","leaher canteen",0,312,309,"on a short, dark haired woman","-----------------#-",1,70,"leather","(take)","drink container",0,6,"water","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a bed of {gl{ye{Gav{ye{gs{x","bed leaves",0,359,312,"on a dark haired man","-----------------#-",10,50,"leaves","(take)","furniture",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a shot of shienaran brandy","shot brandy",0,361,312,"on a dark haired man","-----------------#-",1,30,"brandy","(take)","drink container",0,1,"brandy","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {ywooden{x pipe","wood pipe",0,360,312,"on a dark haired man","-----------------#-",1,45,"wood","(take hold)","trash",0,0,"","+1con",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a glass of {drose{x wine","glass rose wine",0,362,312,"on a dark haired man","-----------------#-",1,92,"cloth","(take)","drink container",0,3,"rose wine","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"the dark one's mark","dark one mark",50,367,314,"on a thief","-------------------",1,0,"paint","(take)","armor","15/15/15/5",-1208614304,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"an iron helmet with a noseguard","iron helmet nose guard",10,313,316,"on a tall, balding man","-----------------#-",1,90,"iron","(take head)","armor","12/15/11/12",-1208619056,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a {yco{Ypp{yer{x helmet with a nose guard","copper helmet nose guard",10,314,316,"on a tall, balding man","-----------------#-",1,75,"copper","(take head)","armor","9/12/9/5",-1208618968,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a folded, iron breastplate ","iron breastplate",10,315,316,"on a tall, balding man","-----------------#-",5,175,"iron","(take torso)","armor","16/16/16/2",-1208618880,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a folded, {yco{Ypp{yer{x breastplate","copper breastplate",10,316,316,"on a tall, balding man","-----------------#-",5,160,"copper","(take torso)","armor","10/10/11/4",-1208618792,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of folded, iron greaves","iron greaves",10,317,316,"on a tall, balding man","-----------------#-",1,60,"iron","(take arms)","armor","16/16/16/2",-1208618704,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of folded, {yco{Ypp{yer{x greaves","copper greaves",10,318,316,"on a tall, balding man","-----------------#-",1,50,"copper","(take arms)","armor","11/11/11/3",-1208618616,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of folded, iron legplates","iron legplates leg plates",10,319,316,"on a tall, balding man","-----------------#-",1,85,"iron","(take legs)","armor","15/15/17/3",-1208618528,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of folded, {yco{Ypp{yer{x legplates","copper legplates leg plates",10,320,316,"on a tall, balding man","-----------------#-",1,76,"cloth","(take legs)","armor","11/12/11/1",-1208618440,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of {yleather{x, iron-toed boots","leather iron boots",10,321,316,"on a tall, balding man","-----------------#-",1,45,"leather","(take feet)","armor","15/18/15/2",-1208618352,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
"a pair of {yleather{x, {yco{Ypp{yer{x-toed boots","leather copper boots",10,322,316,"on a tall, balding man","-----------------#-",1,38,"copper","(take feet)","armor","11/13/10/1",-1208618264,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",,""
